Monterey ED Visits - Total Population,,,,,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,,,,,
Quarter,Annualized Quarterly Rate,Lower 95% CL,Upper 95% CL,Quarterly Count,12-Month Rolling Rate,Lower 95% CL,Upper 95% CL,12-Month Rolling Count
2006 Q1,4.08,2.32,6.79,Suppressed, , , , 
2006 Q2,12.13,8.93,16.23,Suppressed, , , , 
2006 Q3,9.74,6.8,13.63,Suppressed, , , , 
2006 Q4,11.26,8.16,15.26,Suppressed,9.302,6.553,12.978,36
2007 Q1,9.99,7.24,13.6,Suppressed,10.78,7.782,14.68,43
2007 Q2,19.47,15.31,24.53,Suppressed,12.615,9.377,16.755,50
2007 Q3,17.82,13.8,22.74,Suppressed,14.635,11.128,19.032,58
2007 Q4,11.25,8.28,15.08,Suppressed,14.633,11.158,18.988,59
2008 Q1,12.01,8.83,16.09,Suppressed,15.137,11.555,19.61,60
2008 Q2,13.55,10.22,17.76,Suppressed,13.658,10.282,17.918,55
2008 Q3,13.88,10.56,18.05,Suppressed,12.672,9.472,16.745,53
2008 Q4,10.72,7.64,14.72,Suppressed,12.54,9.312,16.655,51
2009 Q1,15.25,11.58,19.81,Suppressed,13.35,10,17.585,54
2009 Q2,16.69,12.91,21.34,Suppressed,14.135,10.673,18.48,57
2009 Q3,11.02,8.11,14.78,Suppressed,13.42,10.06,17.662,54
2009 Q4,14.08,10.72,18.29,Suppressed,14.26,10.83,18.555,59
2010 Q1,11.35,8.34,15.23,Suppressed,13.285,10.02,17.41,56
2010 Q2,21.62,17.38,26.7,Suppressed,14.517,11.137,18.75,62
2010 Q3,18.23,14.33,22.99,Suppressed,16.32,12.692,20.803,69
2010 Q4,12.72,9.59,16.7,Suppressed,15.98,12.41,20.405,68
2011 Q1,13.39,9.96,17.71,Suppressed,16.49,12.815,21.025,69
2011 Q2,21.56,17.32,26.64,Suppressed,16.475,12.8,21.01,69
2011 Q3,14.25,10.93,18.4,Suppressed,15.48,11.95,19.863,66
2011 Q4,15.92,12.32,20.36,Suppressed,16.28,12.633,20.778,69
2012 Q1,19.98,15.9,24.92,Suppressed,17.927,14.117,22.58,77
2012 Q2,18.28,14.35,23.08,Suppressed,17.108,13.375,21.69,73
2012 Q3,24.11,19.64,29.42,Suppressed,19.573,15.552,24.445,83
2012 Q4,19.41,15.44,24.23,Suppressed,20.445,16.332,25.413,87
2013 Q1,18.51,14.64,23.23,Suppressed,20.078,16.017,24.99,86
2013 Q2,22.38,18,27.63,Suppressed,21.102,16.93,26.128,90
2013 Q3,14.25,10.94,18.39,Suppressed,18.637,14.755,23.37,80
2013 Q4,10.6,7.79,14.24,Suppressed,16.435,12.843,20.873,71
2014 Q1,11.56,8.72,15.21,Suppressed,14.697,11.363,18.868,65
2014 Q2,21.59,17.33,26.69,Suppressed,14.5,11.195,18.632,65
2014 Q3,28.73,23.82,34.46,Suppressed,18.12,14.415,22.65,80
2014 Q4,26.2,21.44,31.8,Suppressed,22.02,17.828,27.04,95
2015 Q1,17.93,14.17,22.51,Suppressed,23.613,19.19,28.865,101
2015 Q2,23.85,19.44,29.07,Suppressed,24.178,19.718,29.46,104
2015 Q3,17.81,13.89,22.58,Suppressed,21.447,17.235,26.49,91
2015 Q4,12.04,8.94,15.97,Suppressed,17.907,14.11,22.533,77
2016 Q1,18.6,14.8,23.19,Suppressed,18.075,14.268,22.702,78
2016 Q2,17.43,13.8,21.84,Suppressed,16.47,12.858,20.895,72
2016 Q3,23.72,19.32,28.93,Suppressed,17.947,14.215,22.482,80
2016 Q4,15.43,11.93,19.74,Suppressed,18.795,14.962,23.425,84
2017 Q1,12.25,9.11,16.19,Suppressed,17.208,13.54,21.675,76
2017 Q2,22.32,18,27.44,Suppressed,18.43,14.59,23.075,80
