Monterey Hospitalizations - Total Population,,,,,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,,,,,
Quarter,Annualized Quarterly Rate,Lower 95% CL,Upper 95% CL,Quarterly Count,12-Month Rolling Rate,Lower 95% CL,Upper 95% CL,12-Month Rolling Count
2006 Q1,7.8,5.32,11.19,Suppressed, , , , 
2006 Q2,9.2,6.43,12.89,Suppressed, , , , 
2006 Q3,9.69,6.75,13.58,Suppressed, , , , 
2006 Q4,8.67,6.04,12.19,Suppressed,8.84,6.135,12.462,35
2007 Q1,3.95,2.26,6.58,Suppressed,7.878,5.37,11.31,31
2007 Q2,12.27,9.01,16.43,Suppressed,8.645,6.015,12.195,34
2007 Q3,8.07,5.51,11.56,Suppressed,8.24,5.705,11.69,33
2007 Q4,9.76,6.95,13.47,Suppressed,8.512,5.932,12.01,34
2008 Q1,9.64,6.86,13.3,Suppressed,9.935,7.082,13.69,40
2008 Q2,6.76,4.47,9.95,Suppressed,8.557,5.947,12.07,35
2008 Q3,13.11,9.77,17.35,Suppressed,9.817,7.012,13.518,40
2008 Q4,8.44,5.9,11.85,Suppressed,9.487,6.75,13.113,39
2009 Q1,13.66,10.3,17.89,Suppressed,10.492,7.61,14.26,43
2009 Q2,11.35,8.22,15.39,Suppressed,11.64,8.547,15.62,47
2009 Q3,8.12,5.53,11.6,Suppressed,10.392,7.488,14.183,42
2009 Q4,15.23,11.56,19.78,Suppressed,12.09,8.902,16.165,48
2010 Q1,2.53,1.31,4.65,Suppressed,9.308,6.655,12.855,37
2010 Q2,11.5,8.46,15.4,Suppressed,9.345,6.715,12.858,38
2010 Q3,12.04,8.95,15.98,Suppressed,10.325,7.57,13.953,43
2010 Q4,13.89,10.45,18.2,Suppressed,9.99,7.292,13.557,42
2011 Q1,10.09,7.15,13.93,Suppressed,11.88,8.753,15.877,49
2011 Q2,7.86,5.35,11.27,Suppressed,10.97,7.975,14.845,45
2011 Q3,9.61,6.69,13.47,Suppressed,10.363,7.41,14.218,41
2011 Q4,18.23,14.22,23.12,Suppressed,11.448,8.352,15.448,45
2012 Q1,14.86,11.38,19.21,Suppressed,12.64,9.41,16.767,51
2012 Q2,17.66,13.86,22.31,Suppressed,15.09,11.537,19.528,62
2012 Q3,16.39,12.76,20.88,Suppressed,16.785,13.055,21.38,71
2012 Q4,10.1,7.17,13.93,Suppressed,14.753,11.293,19.083,63
2013 Q1,9.1,6.44,12.64,Suppressed,13.312,10.057,17.44,57
2013 Q2,18.02,14.15,22.75,Suppressed,13.402,10.13,17.55,57
2013 Q3,9.04,6.29,12.7,Suppressed,11.565,8.513,15.505,48
2013 Q4,7.46,4.93,10.92,Suppressed,10.905,7.952,14.752,45
2014 Q1,10.56,7.74,14.21,Suppressed,11.27,8.278,15.145,47
2014 Q2,16.93,13.19,21.52,Suppressed,10.998,8.037,14.838,46
2014 Q3,14.51,11.14,18.73,Suppressed,12.365,9.25,16.345,53
2014 Q4,5.75,3.66,8.74,Suppressed,11.938,8.933,15.8,52
2015 Q1,9.45,6.7,13.07,Suppressed,11.66,8.672,15.515,50
2015 Q2,8.16,5.66,11.5,Suppressed,9.467,6.79,13.01,41
2015 Q3,7.69,5.36,10.85,Suppressed,7.763,5.345,11.04,34
2015 Q4,15.61,12.06,19.99,Suppressed,10.227,7.445,13.852,45
2016 Q1,7.62,5.31,10.73,Suppressed,9.77,7.098,13.268,44
2016 Q2,7.93,5.38,11.34,Suppressed,9.713,7.028,13.228,43
2016 Q3,8.42,5.96,11.68,Suppressed,9.895,7.178,13.435,44
2016 Q4,8.73,6.2,12.06,Suppressed,8.175,5.712,11.453,37
2017 Q1,7.32,5.1,10.31,Suppressed,8.1,5.66,11.348,37
2017 Q2,12.27,9.12,16.23,Suppressed,9.185,6.595,12.57,42
2017 Q3,11.25,8.13,15.23,Suppressed,9.892,7.138,13.458,43
2017 Q4,9.33,6.72,12.72,Suppressed,10.042,7.268,13.623,44
2018 Q1,6.58,4.49,9.44,Suppressed,9.858,7.115,13.405,43
2018 Q2,4.06,2.45,6.47,Suppressed,7.805,5.447,10.965,35
2018 Q3,7.15,4.99,10.07,Suppressed,6.78,4.662,9.675,33
2018 Q4,9.54,6.89,12.97,Suppressed,6.832,4.705,9.737,33
2019 Q1,10.31,7.56,13.84,Suppressed,7.765,5.472,10.838,37
2019 Q2,11.06,8.24,14.65,Suppressed,9.515,6.92,12.883,45
2019 Q3,4.48,2.72,7.06,Suppressed,8.848,6.352,12.13,41
2019 Q4,14.58,11.21,18.75,Suppressed,10.108,7.432,13.575,46
2020 Q1,12.29,9.34,15.99,Suppressed,10.602,7.877,14.113,49
2020 Q2,11.54,8.49,15.41,Suppressed,10.722,7.94,14.302,48
2020 Q3,10.5,7.7,14.07,Suppressed,12.227,9.185,16.055,55
2020 Q4,10.88,8.08,14.44,Suppressed,11.302,8.402,14.978,52
2021 Q1,12.13,9.13,15.87,Suppressed,11.263,8.35,14.947,51
2021 Q2,13.35,10.25,17.18,Suppressed,11.715,8.79,15.39,55
2021 Q3,9.69,7.01,13.12,Suppressed,11.513,8.617,15.152,54
2021 Q4,10,7.34,13.37,Suppressed,11.293,8.433,14.885,53
2022 Q1,7.51,5.23,10.52,Suppressed,10.137,7.457,13.547,48
2022 Q2,8.07,5.72,11.16,Suppressed,8.817,6.325,12.042,42
2022 Q3,7.55,5.15,10.73,Suppressed,8.283,5.86,11.445,39
2022 Q4,9.34,6.64,12.82,Suppressed,8.117,5.685,11.308,37
2023 Q1,14.23,10.91,18.36,Suppressed,9.797,7.105,13.267,44
2023 Q2,20.66,16.65,25.46,Suppressed,12.945,9.837,16.843,58
2023 Q3,14.87,11.47,19.07,Suppressed,14.775,11.418,18.928,67
2023 Q4,17.17,13.52,21.61,Suppressed,16.733,13.137,21.125,77
2024 Q1,18.7,14.83,23.38,Suppressed,17.85,14.117,22.38,82
2024 Q2,15.84,12.42,20.04,Suppressed,16.645,13.06,21.025,77
2024 Q3,10.81,7.99,14.43,Suppressed,15.63,12.19,19.865,73
2024 Q4,10.64,7.65,14.49,Suppressed,13.998,10.722,18.085,64
2025 Q1,9.88,7.02,13.57,Suppressed,11.793,8.77,15.633,53
2025 Q2,9.24,6.66,12.58,Suppressed,10.142,7.33,13.768,45
2025 Q3, , , ,Suppressed, , , , 
,,,,,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,,,,,
File downloaded on,,08.11.2026,,,,,,
Suggested Citation: ,,,,,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,,,,,
