Monterey Deaths - Total Population,,,,,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,,,,,
Quarter,Annualized Quarterly Rate,Lower 95% CL,Upper 95% CL,Quarterly Count,12-Month Rolling Rate,Lower 95% CL,Upper 95% CL,12-Month Rolling Count
2006 Q1,3.99,2.28,6.65,Suppressed, , , , 
2006 Q2,8.79,6.15,12.32,Suppressed, , , , 
2006 Q3,8.07,5.51,11.55,Suppressed, , , , 
2006 Q4,1.01,0.27,2.8,Suppressed,5.465,3.552,8.33,22
2007 Q1,3.57,2.03,6,Suppressed,5.36,3.49,8.168,22
2007 Q2,3.99,2.27,6.66,Suppressed,4.16,2.52,6.753,17
2007 Q3,3.08,1.58,5.55,Suppressed,2.913,1.538,5.253,12
2007 Q4,2.03,0.86,4.2,Suppressed,3.168,1.685,5.602,13
2008 Q1,6.68,4.42,9.84,Suppressed,3.945,2.283,6.562,16
2008 Q2,9.61,6.85,13.25,Suppressed,5.35,3.427,8.21,22
2008 Q3,2.12,0.92,4.33,Suppressed,5.11,3.262,7.905,21
2008 Q4,2.04,0.87,4.23,Suppressed,5.112,3.265,7.913,21
2009 Q1,3.28,1.69,5.84,Suppressed,4.263,2.582,6.912,17
2009 Q2,6.97,4.61,10.23,Suppressed,3.602,2.023,6.158,14
2009 Q3,3.02,1.54,5.44,Suppressed,3.827,2.177,6.435,15
2009 Q4,7.51,4.96,11.01,Suppressed,5.195,3.2,8.13,20
2010 Q1,2.84,1.46,5.15,Suppressed,5.085,3.143,7.958,20
2010 Q2,4.99,3.03,7.87,Suppressed,4.59,2.747,7.368,18
2010 Q3,3.51,2,5.89,Suppressed,4.713,2.862,7.48,19
2010 Q4,5.4,3.45,8.22,Suppressed,4.185,2.485,6.783,18
2011 Q1,8.51,5.93,11.97,Suppressed,5.603,3.602,8.488,24
2011 Q2,5.7,3.63,8.66,Suppressed,5.78,3.752,8.685,25
2011 Q3,4.87,2.95,7.72,Suppressed,6.12,3.99,9.142,26
2011 Q4,10.22,7.4,13.91,Suppressed,7.325,4.978,10.565,31
2012 Q1,6.68,4.57,9.64,Suppressed,6.867,4.638,9.982,30
2012 Q2,2.37,1.22,4.39,Suppressed,6.035,4.035,8.915,27
2012 Q3,5.08,3.09,8,Suppressed,6.088,4.07,8.985,27
2012 Q4,9.49,6.63,13.28,Suppressed,5.905,3.878,8.828,25
2013 Q1,6.18,4.08,9.15,Suppressed,5.78,3.755,8.705,24
2013 Q2,4.55,2.76,7.23,Suppressed,6.325,4.14,9.415,26
2013 Q3,6.19,3.93,9.38,Suppressed,6.603,4.35,9.76,27
2013 Q4,7.46,5.06,10.75,Suppressed,6.095,3.958,9.128,26
2014 Q1,6.33,4.18,9.36,Suppressed,6.133,3.982,9.18,26
2014 Q2,4.01,2.27,6.67,Suppressed,5.998,3.86,9.04,25
2014 Q3,1.89,0.81,3.93,Suppressed,4.923,3.08,7.678,21
2014 Q4,1.69,0.73,3.57,Suppressed,3.48,1.998,5.883,15
2015 Q1,4.51,2.74,7.14,Suppressed,3.025,1.638,5.327,13
2015 Q2,3.14,1.6,5.64,Suppressed,2.808,1.47,5.07,12
2015 Q3,1.78,0.77,3.7,Suppressed,2.78,1.46,5.013,12
2015 Q4,3.48,1.97,5.85,Suppressed,3.228,1.77,5.583,14
2016 Q1,2.32,1.19,4.27,Suppressed,2.68,1.383,4.865,12
2016 Q2,4,2.44,6.37,Suppressed,2.895,1.592,5.048,14
2016 Q3,1.51,0.65,3.22,Suppressed,2.828,1.562,4.928,14
2016 Q4,1.86,0.79,3.83,Suppressed,2.422,1.268,4.423,12
2017 Q1,0.9,0.25,2.48,Suppressed,2.067,1.032,3.975,10
