Monterey  - Total Population,,,,,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,,,,,
Quarter,Annualized Quarterly Rate,Lower 95% CL,Upper 95% CL,Quarterly Count,12-Month Rolling Rate,Lower 95% CL,Upper 95% CL,12-Month Rolling Count
2008 Q1,569.84,567.45,572.25,Suppressed, , , , 
2008 Q2,539.56,537.23,541.9,Suppressed, , , , 
2008 Q3,495.82,493.58,498.06,Suppressed, , , , 
2008 Q4,486.61,484.4,488.83,Suppressed,522.958,520.665,525.26,203845
2009 Q1,360.32,358.43,362.22,Suppressed,470.578,468.41,472.752,184045
2009 Q2,498.27,496.05,500.51,Suppressed,460.255,458.115,462.405,180867
2009 Q3,608.18,605.72,610.64,Suppressed,488.345,486.15,490.55,192758
2009 Q4,590.68,588.26,593.11,Suppressed,514.362,512.115,516.62,203648
2010 Q1,601.18,598.75,603.61,Suppressed,574.578,572.195,576.968,228516
2010 Q2,637.18,634.68,639.69,Suppressed,609.305,606.852,611.763,243444
2010 Q3,640.91,638.41,643.43,Suppressed,617.487,615.025,619.96,247771
2010 Q4,639.97,637.46,642.48,Suppressed,629.81,627.325,632.302,253767
2011 Q1,587.85,585.47,590.24,Suppressed,626.478,624.005,628.96,253385
2011 Q2,623.61,621.16,626.07,Suppressed,623.085,620.625,625.555,253037
2011 Q3,621.09,618.65,623.55,Suppressed,618.13,615.685,620.585,252219
2011 Q4,613.23,610.8,615.67,Suppressed,611.445,609.02,613.882,250644
2012 Q1,624.43,621.99,626.88,Suppressed,620.59,618.15,623.042,255403
2012 Q2,617.5,615.08,619.93,Suppressed,619.062,616.63,621.507,255746
2012 Q3,630.47,628.02,632.93,Suppressed,621.408,618.972,623.852,257664
2012 Q4,614.18,611.76,616.6,Suppressed,621.645,619.213,624.085,258798
2013 Q1,557.83,555.54,560.13,Suppressed,604.995,602.6,607.397,252845
2013 Q2,593.79,591.43,596.16,Suppressed,599.067,596.688,601.455,251416
2013 Q3,599.67,597.3,602.05,Suppressed,591.367,589.007,593.735,249108
2013 Q4,594.26,591.9,596.63,Suppressed,586.387,584.042,588.742,247926
2014 Q1,550.88,548.61,553.15,Suppressed,584.65,582.31,586.997,247853
2014 Q2,581.56,579.23,583.89,Suppressed,581.592,579.26,583.93,247187
2014 Q3,625.24,622.83,627.66,Suppressed,587.985,585.642,590.332,250579
2014 Q4,583.4,581.07,585.74,Suppressed,585.27,582.935,587.61,250055
2015 Q1,567.99,565.71,570.28,Suppressed,589.547,587.21,591.892,252836
2015 Q2,594.62,592.28,596.96,Suppressed,592.812,590.472,595.16,255178
2015 Q3,573.17,570.87,575.47,Suppressed,579.795,577.483,582.112,250588
2015 Q4,545.74,543.5,547.98,Suppressed,570.38,568.09,572.672,247444
2016 Q1,542.33,540.11,544.56,Suppressed,563.965,561.69,566.243,245207
2016 Q2,547.35,545.12,549.59,Suppressed,552.148,549.9,554.4,240742
2016 Q3,544.43,542.21,546.67,Suppressed,544.963,542.735,547.2,238356
2016 Q4,530.02,527.82,532.22,Suppressed,541.032,538.815,543.26,237383
2017 Q1,501.39,499.27,503.51,Suppressed,530.797,528.605,532.998,234062
2017 Q2,504.94,502.82,507.07,Suppressed,520.195,518.03,522.367,230553
2017 Q3,476.79,474.73,478.86,Suppressed,503.285,501.16,505.415,224114
2017 Q4,444.75,442.76,446.75,Suppressed,481.967,479.895,484.048,215649
